run_number,path,shape,dtype,size,role
44712,raw_data_1/selog/ForwardFoilLeft/value_log/alarm_time,"(1,)",float32,1,early_empty_control
44712,raw_data_1/selog/ForwardFoilLeft/value_log/name,"(1,)",|S1,1,early_empty_control
44712,raw_data_1/selog/ForwardFoilLeft/value_log/time,"(2,)",float32,2,early_empty_control
44712,raw_data_1/selog/ForwardFoilLeft/value_log/value,"(2,)",float32,2,early_empty_control
44712,raw_data_1/selog/ForwardFoilLeft/value_log/value_valid,"(2,)",int32,2,early_empty_control
44712,raw_data_1/selog/ForwardFoilLeft/value_spread,"(1,)",float32,1,early_empty_control
44712,raw_data_1/selog/ForwardFoilLeft/vi_name,"(1,)",|S1,1,early_empty_control
44712,raw_data_1/selog/ForwardFoilRight/read_control,"(1,)",|S1,1,early_empty_control
44712,raw_data_1/selog/ForwardFoilRight/set_control,"(1,)",|S1,1,early_empty_control
44712,raw_data_1/selog/ForwardFoilRight/setpoint,"(1,)",float32,1,early_empty_control
44712,raw_data_1/selog/ForwardFoilRight/setpoint_spread,"(1,)",float32,1,early_empty_control
44712,raw_data_1/selog/ForwardFoilRight/value,"(1,)",float32,1,early_empty_control
44712,raw_data_1/selog/ForwardFoilRight/value_log/alarm_severity,"(1, 1)",|S4,1,early_empty_control
44712,raw_data_1/selog/ForwardFoilRight/value_log/alarm_status,"(1, 1)",|S8,1,early_empty_control
44712,raw_data_1/selog/ForwardFoilRight/value_log/alarm_time,"(1,)",float32,1,early_empty_control
44712,raw_data_1/selog/ForwardFoilRight/value_log/name,"(1,)",|S1,1,early_empty_control
44712,raw_data_1/selog/ForwardFoilRight/value_log/time,"(2,)",float32,2,early_empty_control
44712,raw_data_1/selog/ForwardFoilRight/value_log/value,"(2,)",float32,2,early_empty_control
44712,raw_data_1/selog/ForwardFoilRight/value_log/value_valid,"(2,)",int32,2,early_empty_control
44712,raw_data_1/selog/ForwardFoilRight/value_spread,"(1,)",float32,1,early_empty_control
44712,raw_data_1/selog/ForwardFoilRight/vi_name,"(1,)",|S1,1,early_empty_control
44712,raw_data_1/selog/ICP_DAE_TD/read_control,"(1,)",|S1,1,early_empty_control
44712,raw_data_1/selog/ICP_DAE_TD/set_control,"(1,)",|S1,1,early_empty_control
44712,raw_data_1/selog/ICP_DAE_TD/value_log/alarm_severity,"(1, 1)",|S2,1,early_empty_control
44712,raw_data_1/selog/ICP_DAE_TD/value_log/alarm_status,"(1, 1)",|S2,1,early_empty_control
44712,raw_data_1/selog/ICP_DAE_TD/value_log/alarm_time,"(1,)",float32,1,early_empty_control
44712,raw_data_1/selog/ICP_DAE_TD/value_log/name,"(1,)",|S1,1,early_empty_control
44712,raw_data_1/selog/ICP_DAE_TD/value_log/time,"(110,)",float32,110,early_empty_control
44712,raw_data_1/selog/ICP_DAE_TD/value_log/value,"(110,)",float32,110,early_empty_control
44712,raw_data_1/selog/ICP_DAE_TD/value_log/value_valid,"(110,)",int32,110,early_empty_control
44712,raw_data_1/selog/ICP_DAE_TD/vi_name,"(1,)",|S1,1,early_empty_control
44712,raw_data_1/selog/ICP_SYS_TD/read_control,"(1,)",|S1,1,early_empty_control
44712,raw_data_1/selog/ICP_SYS_TD/set_control,"(1,)",|S1,1,early_empty_control
44712,raw_data_1/selog/ICP_SYS_TD/value_log/alarm_severity,"(1, 1)",|S2,1,early_empty_control
44712,raw_data_1/selog/ICP_SYS_TD/value_log/alarm_status,"(1, 1)",|S2,1,early_empty_control
44712,raw_data_1/selog/ICP_SYS_TD/value_log/alarm_time,"(1,)",float32,1,early_empty_control
44712,raw_data_1/selog/ICP_SYS_TD/value_log/name,"(1,)",|S1,1,early_empty_control
44712,raw_data_1/selog/ICP_SYS_TD/value_log/time,"(110,)",float32,110,early_empty_control
